"entity_id","study_id"
"IK_WKZLNEWVIAGNAW-UHFFFAOYSA-N","S_28880465"
"IK_XOAAWQZATWQOTB-UHFFFAOYSA-N","S_28880465"
"IK_XQXPVVBIMDBYFF-UHFFFAOYSA-N","S_28880465"
"IK_YGPSJZOEDVAXAB-QMMMGPOBSA-N","S_28880465"
"IK_YKPUWZUDDOIDPM-SOFGYWHQSA-N","S_28880465"
"IK_YSMODUONRAFBET-UHNVWZDZSA-N","S_28880465"
"IK_YZQCXOFQZKCETR-UWVGGRQHSA-N","S_28880465"
"IK_ZDXPYRJPNDTMRX-VKHMYHEASA-N","S_28880465"
"IK_ZFXYFBGIUFBOJW-UHFFFAOYSA-N","S_28880465"
"IK_ZHRLECIZINSPKL-AKGZTFGVSA-N","S_28880465"
"IK_BCNUXXXHEIUHJB-UHFFFAOYSA-N","S_29518718"
"IK_COLNVLDHVKWLRT-UHFFFAOYNA-N","S_29518718"
"IK_CWMPPVPFLSZGCY-SREVYHEPSA-N","S_29518718"
