entity_id,canonical_metabolite,primary_pathway
IK_KJPVZTMEFPUZPC-UYQAEJRRSA-N,"SM(d20:1/22:6(5Z,7Z,10Z,13Z,16Z,19Z)-OH(4))",Glycerophospholipid metabolism
IK_KKADPXVIOXHVKN-UHFFFAOYSA-N,4-Hydroxyphenylpyruvic acid,Tyrosine metabolism
IK_KKCIOUWDFWQUBT-AWEZNQCLSA-N,L-Thyronine,Tyrosine metabolism
IK_KLZGKIDSEJWEDW-UHFFFAOYSA-N,N-Acetylputrescine,Arginine and proline metabolism
IK_KNHXCLGABLNNRN-FFSDQCCLSA-N,PC O-34:4|PC O-16:2_18:2,Linoleic acid metabolism
IK_KPGXRSRHYNQIFN-UHFFFAOYSA-N,Oxoglutaric acid,Arginine biosynthesis
IK_KRKNYBCHXYNGOX-UHFFFAOYSA-N,Citric Acid,"Alanine, aspartate and glutamate metabolism"
IK_KTJAFMBXBPVGGI-LTEAFHAISA-N,PE 36:3;O|PE 18:2_18:1;O,Nicotinate and nicotinamide metabolism
IK_KTLRWTOPTKGYQY-UHFFFAOYSA-N,N1-Methyl-4-pyridone-5-carboxamide3,Nicotinate and nicotinamide metabolism
IK_KUYNOZVWCFXSNE-BYNIDDHOSA-N,Indoxyl glucuronide,Ascorbate and aldarate metabolism
IK_KVMOASQARMCFEX-OBEJFMRTSA-N,PE(16:1(9Z)/P-18:1(9Z)),Glycerophospholipid metabolism
